Model Name,Release Date
@cf/meta/llama-3.2-1b-instruct,September 2024
@cf/meta/llama-3.2-3b-instruct,September 2024
@cf/meta/llama-3.1-8b-instruct-fp8-fast,July 2024
@cf/meta/llama-3.2-11b-vision-instruct,September 2024
@cf/meta/llama-3.1-70b-instruct-fp8-fast,July 2024
@cf/meta/llama-3.3-70b-instruct-fp8-fast,December 2024
@cf/deepseek-ai/deepseek-r1-distill-qwen-32b,January 2025
@cf/mistral/mistral-7b-instruct-v0.1,September 2023
@cf/mistralai/mistral-small-3.1-24b-instruct,September 2024
@cf/meta/llama-3.1-8b-instruct,July 2024
@cf/meta/llama-3.1-8b-instruct-fp8,July 2024
@cf/meta/llama-3.1-8b-instruct-awq,July 2024
@cf/meta/llama-3-8b-instruct,April 2024
@cf/meta/llama-3-8b-instruct-awq,April 2024
@cf/meta/llama-2-7b-chat-fp16,July 2023
@cf/meta/llama-guard-3-8b,July 2024
@cf/meta/llama-4-scout-17b-16e-instruct,January 2026
@cf/google/gemma-3-12b-it,February 2025
@cf/qwen/qwq-32b,November 2024
@cf/qwen/qwen2.5-coder-32b-instruct,November 2024
@cf/qwen/qwen3-30b-a3b-fp8,March 2026
@cf/openai/gpt-oss-120b,October 2025
@cf/openai/gpt-oss-20b,October 2025
@cf/aisingapore/gemma-sea-lion-v4-27b-it,December 2024
@cf/ibm-granite/granite-4.0-h-micro,November 2025
@cf/zai-org/glm-4.7-flash,August 2025
@cf/zai-org/glm-5.2,April 2026
@cf/nvidia/nemotron-3-120b-a12b,March 2024
@cf/moonshotai/kimi-k2.5,November 2025
@cf/moonshotai/kimi-k2.6,January 2026
@cf/moonshotai/kimi-k2.7-code,March 2026
@cf/google/gemma-4-26b-a4b-it,May 2026
@cf/baai/bge-small-en-v1.5,September 2023
@cf/baai/bge-base-en-v1.5,September 2023
@cf/baai/bge-large-en-v1.5,September 2023
@cf/baai/bge-m3,January 2024
@cf/pfnet/plamo-embedding-1b,November 2024
@cf/qwen/qwen3-embedding-0.6b,February 2026
@cf/black-forest-labs/flux-1-schnell,August 2024
@cf/leonardo/lucid-origin,December 2024
@cf/leonardo/phoenix-1.0,June 2024
@cf/black-forest-labs/flux-2-dev,October 2025
@cf/black-forest-labs/flux-2-klein-4b,November 2025
@cf/black-forest-labs/flux-2-klein-9b,January 2026
@cf/openai/whisper,September 2022
@cf/openai/whisper-large-v3-turbo,October 2024
@cf/myshell-ai/melotts,April 2024
@cf/deepgram/aura-1,March 2024
@cf/deepgram/nova-3,July 2025
@cf/deepgram/nova-3 (WebSocket),July 2025
@cf/pipecat-ai/smart-turn-v2,September 2025
@cf/deepgram/aura-2-en,January 2025
@cf/deepgram/aura-2-es,January 2025
@cf/deepgram/flux (WebSocket),October 2025
@cf/huggingface/distilbert-sst-2-int8,October 2019 (Quantized: 2022)
@cf/baai/bge-reranker-base,September 2023
@cf/meta/m2m100-1.2b,October 2020
@cf/microsoft/resnet-50,December 2015
@cf/ai4bharat/indictrans2-en-indic-1B,June 2023
@cf/moondream/moondream3.1-9B-A2B,February 2026
